字頭,撫州話,推導撫州話,文白新,訓作,釋義,中古拼音,音韻地位,聲母,清濁,音,組,攝,韻系,等,呼,聲調,反切,廣韻釋義,推導普通話,推導廣州話
丟,tju1,,,,,,,,,,,,,,,,,,,
了,tjɛ0,,,咧,,,,,,,,,,,,,,,,
倘,tʰoŋ3,,,,,,,,,,,,,,,,,,,
卅,sat7,,,,,,,,,,,,,,,,,,,
喂,wi5,,,,,,,,,,,,,,,,,,,
嗅,ɕjuŋ5,,白,,,,,,,,,,,,,,,,,
嗓,soŋ3,,,,,,,,,,,,,,,,,,,
塌,tʰat7,,,,,,,,,,,,,,,,,,,
嬸,ɕin3,,,,,,,,,,,,,,,,,,,
差,tsʰai1,,,,,,,,,,,,,,,,,,,
彗,fi6,,,,,,,,,,,,,,,,,,,
慪,ŋɛu5,,,,,,,,,,,,,,,,,,,
捆,kʰun3,,,,,,,,,,,,,,,,,,,
棚,pʰaŋ2,,白,,,,,,,,,,,,,,,,,
棚,pʰuŋ2,,文,,,,,,,,,,,,,,,,,
冇,mau6,,,,沒有,,,,,,,,,,,,,,,
沒,mau6,,,冇,,,,,,,,,,,,,,,,
治,tʰi6,,,,,,,,,,,,,,,,,,,
涂,tʰu2,,,,,,,,,,,,,,,,,,,
滾,kun3,,,,,,,,,,,,,,,,,,,
濾,ti5,,,,,,,,,,,,,,,,,,,
漱,su5,,,,,,,,,,,,,,,,,,,
燉,tun1,,,,,,,,,,,,,,,,,,,
煉,tɥon6,,,,,,,,,,,,,,,,,,,
焉,jɛn1,,,,,,,,,,,,,,,,,,,
玩,woi3,,,猥,,,,,,,,,,,,,,,,
瓤,loŋ2,,,,,,,,,,,,,,,,,,,
的,ko0,,,嗰,,,,,,,,,,,,,,,,
嗰,ko0,,,,的,,,,,,,,,,,,,,,
瞪,tsʰɛn1,,白,,,,,,,,,,,,,,,,,
磕,kʰot7,,,,,,,,,,,,,,,,,,,
竭,tɕʰjɛt8,,,,,,,,,,,,,,,,,,,
編,pjɛn1,,,,,,,,,,,,,,,,,,,
縊,i5,,,,,,,,,,,,,,,,,,,
骯,ŋoŋ1,,,,,,,,,,,,,,,,,,,
蝸,wo1,,,,,,,,,,,,,,,,,,,
褶,tɛt7,,,,,,,,,,,,,,,,,,,
詑,tʰoʔ7,,,,,,,,,,,,,,,,,,,
認,nin6,,白,,,,,,,,,,,,,,,,,
謊,foŋ3,,,,,,,,,,,,,,,,,,,
鞋,hai2,,,,,,,,,,,,,,,,,,,
鯽,tsɛʔ7,,,,,,,,,,,,,,,,,,,
註,tu5,,,,,,,,,,,,,,,,,,,
闆,pan3,,,,,,,,,,,,,,,,,,,
醃,jɛn1,,,,,,,,,,,,,,,,,,,
衹,ti3,,,,,,,,,,,,,,,,,,,
颱,tʰai2,,,,,,,,,,,,,,,,,,,
捱,ŋai1,,,,,,,,,,,,,,,,,,,
打,ta3,,,,,,,,,,,,,,,,,,,
們,mun2,,,,,,,,,,,,,,,,,,,
咧,tjɛ0,,,,了,,,,,,,,,,,,,,,
囥,kʰoŋ5,,,,藏,,,,,,,,,,,,,,,
戳,tsʰoʔ7,,,,肏,,,,,,,,,,,,,,,
屄,pjɛt7,,,,,,,,,,,,,,,,,,,
另,tin6,,,,,,,,,,,,,,,,,,,
圾,tɕi1,,,,,,,,,,,,,,,,,,,
膛,tʰoŋ2,,,,,,,,,,,,,,,,,,,
甩,swoi3,,新,,,,,,,,,,,,,,,,,
圳,tun5,,,,,,,,,,,,,,,,,,,
謆,sɛn5,,,,聊,,,,,,,,,,,,,,,
厾,tuʔ7,,,,戳,,,,,,,,,,,,,,,
屙,ŋo1,,,,排泄,,,,,,,,,,,,,,,
㧸,pʰaŋ1,,,,驅趕,,,,,,,,,,,,,,,
搛,tɕʰjɛn2,,,,（用筷子）夾,,,,,,,,,,,,,,,
刣,sɿ1,,,,宰（魚）,,,,,,,,,,,,,,,
掙,tsaŋ5,,白,,,,,,,,,,,,,,,,,
這,ko1,,,箇,,,,,,,,,,,,,,,,
這,koi1,,,該,,,,,,,,,,,,,,,,
那,ɛ1,,,爾,,,,,,,,,,,,,,,,
加,ka6,,,箇下,,,,,,,,,,,,,,,,
伢,ŋa2,,,,,,,,,,,,,,,,,,,
淘,tʰau2,,文,,,,,,,,,,,,,,,,,
卡,kʰa3,,,,,,,,,,,,,,,,,,,
淘,hau2,,白,,,,,,,,,,,,,,,,,
㞘,tuʔ7,,,,底部,,,,,,,,,,,,,,,
乒,pʰin1,,,,,,,,,,,,,,,,,,,
乓,pʰoŋ1,,,,,,,,,,,,,,,,,,,
刨,pʰau2,,,,,,,,,,,,,,,,,,,
吆,jau1,,,,,,,,,,,,,,,,,,,
嗆,tɕʰjoŋ5,,,,,,,,,,,,,,,,,,,
屜,tʰi5,,,,,,,,,,,,,,,,,,,
岔,tsʰa5,,,,,,,,,,,,,,,,,,,
拷,kʰau3,,,,,,,,,,,,,,,,,,,
摞,lo3,,,,,,,,,,,,,,,,,,,
撬,tɕʰjau5,,,,,,,,,,,,,,,,,,,
潦,tjau2,,,,,,,,,,,,,,,,,,,
炆,un2,,,,,,,,,,,,,,,,,,,
燜,mun6,,,,,,,,,,,,,,,,,,,
瘋,fuŋ1,,,,,,,,,,,,,,,,,,,
瘟,un1,,,,,,,,,,,,,,,,,,,
啊,a0,,,,,,,,,,,,,,,,,,,
吧,pa0,,,,,,,,,,,,,,,,,,,
她,tʰa1,,,,,,,,,,,,,,,,,,,
啵,po0,,,,,,,,,,,,,,,,,,,
瞌,kʰot7,,,,,,,,,,,,,,,,,,,
瞧,tɕʰjau2,,,,,,,,,,,,,,,,,,,
碳,tʰan5,,,,,,,,,,,,,,,,,,,
綁,poŋ3,,,,,,,,,,,,,,,,,,,
舔,tʰjɛn3,,,,,,,,,,,,,,,,,,,
芯,ɕin1,,,,,,,,,,,,,,,,,,,
菠,po1,,,,,,,,,,,,,,,,,,,
趕,kon3,,,,,,,,,,,,,,,,,,,
躺,tʰoŋ3,,,,,,,,,,,,,,,,,,,
釉,ju6,,,,,,,,,,,,,,,,,,,
鉚,mau3,,,,,,,,,,,,,,,,,,,
鏽,ɕju5,,,,,,,,,,,,,,,,,,,
鋅,ɕin1,,,,,,,,,,,,,,,,,,,
錨,mau2,,,,,,,,,,,,,,,,,,,
鵪,ŋon1,,,,,,,,,,,,,,,,,,,
𥣘,jɛt7,,,,不饱满,,,,,,,,,,,,,,,
䁐,jaŋ5,,,,看守,,,,,,,,,,,,,,,
哎,ai0,,,,,,,,,,,,,,,,,,,
唉,ai0,,,,,,,,,,,,,,,,,,,
癌,ŋai2,,,,,,,,,,,,,,,,,,,
捌,pat7,,,,,,,,,,,,,,,,,,,
扒,pʰa2,,,,,,,,,,,,,,,,,,,
叭,pa0,,,,,,,,,,,,,,,,,,,
泵,puŋ5,,,,,,,,,,,,,,,,,,,
蹦,puŋ5,,,,,,,,,,,,,,,,,,,
歹,tai3,,,,,,,,,,,,,,,,,,,
傣,tai3,,,,,,,,,,,,,,,,,,,
氮,tan5,,,,,,,,,,,,,,,,,,,
碘,tjɛn3,,,,,,,,,,,,,,,,,,,
惦,tjɛn5,,,,,,,,,,,,,,,,,,,
痘,tɛu5,,,,,,,,,,,,,,,,,,,
跺,to5,,,,,,,,,,,,,,,,,,,
鈣,koi5,,,,,,,,,,,,,,,,,,,
菇,ku1,,,,,,,,,,,,,,,,,,,
咕,ku1,,,,,,,,,,,,,,,,,,,
褂,kwa5,,,,,,,,,,,,,,,,,,,
蕹,ŋ5,,,,,,,,,,,,,,,,,,,
淌,hoŋ3,,白,,,,,,,,,,,,,,,,,
還,hai2,,,,,,,,,,,,,,,,,,,
間,kan3,,,,~間,,,,,,,,,,,,,,,
荸,pʰut8,,,,,,,,,,,,,,,,,,,
膘,pjau1,,,,,,,,,,,,,,,,,,,
氟,fut8,,,,,,,,,,,,,,,,,,,
缽,pot8,,,,,,,,,,,,,,,,,,,
東,tuŋ1,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,dong1,dung1
菄,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,東風菜義見上注俗加艹,dong1,dung1
鶇,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,鶇鵍鳥名美形出廣雅亦作𪂝,dong1,dung1
䍶,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,dong1,dung1
𠍀,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,儱𠍀儜劣皃出字諟,dong1,dung1
倲,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,儱𠍀儜劣皃出字諟,dong1,dung1
𩜍,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,地理志云東郡館名,dong1,dung1
𢘐,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,古文見道經,dong1,dung1
涷,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,dong1,dung1
蝀,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,螮蝀虹也又音董,dong1,dung1
凍,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,凍凌又都貢切,dong1,dung1
鯟,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,魚名似鯉,dong1,dung1
𢔅,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,行皃,dong1,dung1
崠,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,崠如山名,dong1,dung1
埬,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,上埬地名,dong1,dung1
𧓕,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,dong1,dung1
䰤,,tuŋ1,,,,tung,端通東一平,端,全清,舌,端,通,東,一,,平,德紅切,醜皃,dong1,dung1
同,tʰuŋ2,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,tong2,tung4
仝,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,古文出道書,tong2,tung4
童,tʰuŋ2,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,tong2,tung4
僮,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,tong2,tung4
銅,tʰuŋ2,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,金之一品,tong2,tung4
桐,tʰuŋ2,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷,tong2,tung4
峒,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,崆峒山名,tong2,tung4
硐,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,磨也,tong2,tung4
𦨴,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,𦨴船,tong2,tung4
𧱁,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,獸似豕出泰山,tong2,tung4
筒,tʰuŋ2,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,tong2,tung4
瞳,tʰuŋ2,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,目瞳,tong2,tung4
㼧,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,㼧瓦,tong2,tung4
𤭁,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,㼧瓦,tong2,tung4
罿,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,車上網又音衝,tong2,tung4
犝,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,犝牛無角,tong2,tung4
筩,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,竹筩,tong2,tung4
潼,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,水名出廣漢郡亦關名又通衝二音,tong2,tung4
曈,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,曈曨日欲明也又他孔切,tong2,tung4
洞,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,洪洞縣名在晉州北又徒弄切,tong2,tung4
侗,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,楊子法言云倥侗顓蒙,tong2,tung4
橦,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,木名花可爲布出字書又鍾幢二音,tong2,tung4
烔,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,熱氣烔烔出字林,tong2,tung4
䴀,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記,tong2,tung4
挏,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,引也漢官名有挏馬又音動,tong2,tung4
酮,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,馬酪又音動,tong2,tung4
鮦,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,爾雅云鰹大鮦又直冢直柳二切,tong2,tung4
㼿,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,井甓一云甃也,tong2,tung4
𦏆,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,無角羊,tong2,tung4
𦍻,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,無角羊,tong2,tung4
眮,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,目眶又徒摠切,tong2,tung4
蕫,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,草名又多動切,tong2,tung4
穜,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,穜稑先種後熟謂之穜後種先熟謂之稑又音重,tong2,tung4
衕,tʰuŋ2,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,通街也,tong2,tung4
𩍅,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,靫具飾也,tong2,tung4
𢈉,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,地下應聲,tong2,tung4
䆚,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,通䆚也,tong2,tung4
哃,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,哃𠹔大言,tong2,tung4
𢏕,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,弓飾,tong2,tung4
絧,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,布名,tong2,tung4
𨚯,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,鄉名,tong2,tung4
𨝯,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,地名又姓,tong2,tung4
𪔜,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,鼓聲,tong2,tung4
𩦶,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,黑虎,tong2,tung4
𪒿,,tʰuŋ2,,,,dung,定通東一平,定,全濁,舌,端,通,東,一,,平,徒紅切,黑皃,tong2,tung4
中,tuŋ1,tuŋ1,,,,triung,知通東三平,知,全清,舌,知,通,東,三,,平,陟弓切,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,zhong1,zung1
衷,,tuŋ1,,,,triung,知通東三平,知,全清,舌,知,通,東,三,,平,陟弓切,善也正也適也中也又衷衣褻衣也,zhong1,zung1
忠,tuŋ1,tuŋ1,,,,triung,知通東三平,知,全清,舌,知,通,東,三,,平,陟弓切,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,zhong1,zung1
𦬕,,tuŋ1,,,,triung,知通東三平,知,全清,舌,知,通,東,三,,平,陟弓切,草名又音沖,zhong1,zung1
蟲,tʰuŋ2,tʰuŋ2,,,,driung,澄通東三平,澄,全濁,舌,知,通,東,三,,平,直弓切,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七,chong2,cung4
沖,tʰuŋ1,tʰuŋ2,,,,driung,澄通東三平,澄,全濁,舌,知,通,東,三,,平,直弓切,和也深也,chong2,cung4
种,,tʰuŋ2,,,,driung,澄通東三平,澄,全濁,舌,知,通,東,三,,平,直弓切,稚也或作沖亦姓後漢司徒河南种暠,chong2,cung4
盅,,tʰuŋ2,,,,driung,澄通東三平,澄,全濁,舌,知,通,東,三,,平,直弓切,器虛也又敕中切,chong2,cung4
爞,,tʰuŋ2,,,,driung,澄通東三平,澄,全濁,舌,知,通,東,三,,平,直弓切,爾雅云爞爞炎炎熏也,chong2,cung4
𦬕,,tʰuŋ2,,,,driung,澄通東三平,澄,全濁,舌,知,通,東,三,,平,直弓切,草名又音中,chong2,cung4
翀,,tʰuŋ2,,,,driung,澄通東三平,澄,全濁,舌,知,通,東,三,,平,直弓切,直上飛也,chong2,cung4
終,tuŋ1,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,zhong1,zung1
眾,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,又之仲切,zhong1,zung1
潀,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,小水入大水又徂紅在冬二切,zhong1,zung1
𣧩,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,歿也,zhong1,zung1
螽,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,螽斯蟲也,zhong1,zung1
𧑄,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,螽斯蟲也,zhong1,zung1
鼨,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,豹文鼠也,zhong1,zung1
蔠,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,蔠葵蘩露也,zhong1,zung1
柊,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,木名又齊人謂椎爲柊楑也,zhong1,zung1
𩅧,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,小雨,zhong1,zung1
䶱,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,字書云龜名也,zhong1,zung1
鴤,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,鳥名,zhong1,zung1
䈺,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,篋䈺戎人呼之,zhong1,zung1
泈,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,水名在襄陽,zhong1,zung1
䝦,,tuŋ1,,,,cjiung,章通東三平,章,全清,齒,章,通,東,三,,平,職戎切,獸如豹,zhong1,zung1
忡,,tʰuŋ1,,,,thriung,徹通東三平,徹,次清,舌,知,通,東,三,,平,敕中切,憂也敕中切三,chong1,cung1
浺,,tʰuŋ1,,,,thriung,徹通東三平,徹,次清,舌,知,通,東,三,,平,敕中切,浺瀜水平遠之皃又音蟲,chong1,cung1
盅,,tʰuŋ1,,,,thriung,徹通東三平,徹,次清,舌,知,通,東,三,,平,敕中切,器虛也又音蟲,chong1,cung1
崇,tsʰuŋ2,tsʰuŋ2,,,,zriung,崇通東三平,崇,全濁,齒,莊,通,東,三,,平,鋤弓切,高也敬也就也聚也又姓鋤弓切四,chong2,cung4
崇,tɕʰjuŋ2,tsʰuŋ2,,,,zriung,崇通東三平,崇,全濁,齒,莊,通,東,三,,平,鋤弓切,高也敬也就也聚也又姓鋤弓切四,chong2,cung4
崈,,tsʰuŋ2,,,,zriung,崇通東三平,崇,全濁,齒,莊,通,東,三,,平,鋤弓切,高也敬也就也聚也又姓鋤弓切四,chong2,cung4
㓽,,tsʰuŋ2,,,,zriung,崇通東三平,崇,全濁,齒,莊,通,東,三,,平,鋤弓切,鍤屬,chong2,cung4
𩞉,,tsʰuŋ2,,,,zriung,崇通東三平,崇,全濁,齒,莊,通,東,三,,平,鋤弓切,饞𩞉貪食也出古今字音,chong2,cung4
嵩,ɕjuŋ1,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,song1,sung1
崧,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,song1,sung1
𪀚,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,似鷹而小能捕雀也,song1,sung1
娀,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,有娀氏女簡狄帝嚳次妃吞乙卵生契,song1,sung1
菘,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,菜名,song1,sung1
硹,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,地名在遼,song1,sung1
㣝,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,姓也,song1,sung1
𧊕,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,蟲名,song1,sung1
䯷,,ɕjuŋ1,,,,siung,心通東三平,心,全清,齒,精,通,東,三,,平,息弓切,細毛,song1,sung1
戎,luŋ2,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,rong2,jung4
𢦦,,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,rong2,jung4
茙,,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,rong2,jung4
㭜,,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,木名,rong2,jung4
駥,,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,馬八尺也,rong2,jung4
𥬪,,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,小竹可爲矢,rong2,jung4
𠈋,,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,𠈋人身有三角也,rong2,jung4
狨,,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,細布,rong2,jung4
絨,luŋ2,njuŋ2,,,,njiung,日通東三平,日,次濁,齒,日,通,東,三,,平,如融切,細布,rong2,jung4
弓,tɕjuŋ1,tɕjuŋ1,,,,kiung,見通東三平,見,全清,牙,見,通,東,三,,平,居戎切,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,jiong1,gung1
躳,,tɕjuŋ1,,,,kiung,見通東三平,見,全清,牙,見,通,東,三,,平,居戎切,身也親也又姓出姓苑,jiong1,gung1
躬,tɕjuŋ1,tɕjuŋ1,,,,kiung,見通東三平,見,全清,牙,見,通,東,三,,平,居戎切,身也親也又姓出姓苑,jiong1,gung1
㴦,,tɕjuŋ1,,,,kiung,見通東三平,見,全清,牙,見,通,東,三,,平,居戎切,縣名在酒泉,jiong1,gung1
宮,tɕjuŋ1,tɕjuŋ1,,,,kiung,見通東三平,見,全清,牙,見,通,東,三,,平,居戎切,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇,jiong1,gung1
匑,,tɕjuŋ1,,,,kiung,見通東三平,見,全清,牙,見,通,東,三,,平,居戎切,謹敬之皃又音穹,jiong1,gung1
融,juŋ2,juŋ2,,,,jiung,以通東三平,以,次濁,喉,影,通,東,三,,平,以戎切,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四,yong2,jung4
肜,,juŋ2,,,,jiung,以通東三平,以,次濁,喉,影,通,東,三,,平,以戎切,祭名又敕林切,yong2,jung4
瀜,,juŋ2,,,,jiung,以通東三平,以,次濁,喉,影,通,東,三,,平,以戎切,沖瀜大水皃,yong2,jung4
